time,frequency,confidence
2.610,87.373,0.951643
2.620,87.330,0.948525
2.630,87.350,0.949875
2.640,87.241,0.946652
2.650,87.234,0.943684
2.660,87.312,0.936990
2.670,87.181,0.926147
2.680,87.181,0.908767
2.690,87.082,0.893647
2.700,87.147,0.905956
2.710,87.205,0.910011
2.720,87.094,0.898325
2.730,87.175,0.899779
2.740,87.305,0.899457
2.750,87.241,0.916794
2.760,87.230,0.913419
2.770,87.077,0.894076
2.780,87.157,0.901757
2.790,87.227,0.915193
2.800,87.118,0.896808
2.810,87.217,0.893396
2.820,87.362,0.867985
2.830,87.514,0.695423
2.840,87.249,0.350800
2.850,82.886,0.212559
2.860,55.141,0.045347
2.870,658.616,0.064990
2.880,658.447,0.095532
2.890,1039.015,0.029081
2.900,558.820,0.098921
2.910,62.090,0.078396
2.920,88.231,0.138839
2.930,88.290,0.407841
2.940,87.477,0.682839
2.950,87.139,0.883046
2.960,87.155,0.931860
2.970,87.287,0.944324
2.980,87.283,0.947348
2.990,87.302,0.950305
3.000,87.291,0.945288
3.010,87.381,0.957312
3.020,87.336,0.955665
3.030,87.224,0.954951
3.040,87.214,0.947291
3.050,87.199,0.926915
3.060,87.053,0.899743
3.070,87.059,0.886320
3.080,87.240,0.911975
3.090,87.240,0.910198
3.100,87.182,0.910926
3.110,87.196,0.911287
3.120,87.121,0.912086
3.130,87.186,0.913646
3.140,87.100,0.898782
3.150,87.094,0.891952
3.160,86.919,0.641051
3.170,81.854,0.038731
3.180,88.409,0.134156
3.190,88.395,0.402503
3.200,87.646,0.617751
3.210,87.219,0.831532
3.220,87.078,0.920767
3.230,87.091,0.931754
3.240,87.236,0.942383
3.250,87.335,0.948325
3.260,87.193,0.947906
3.270,87.081,0.930322
3.280,86.990,0.911136
3.290,87.129,0.901722
3.300,87.119,0.908703
3.310,87.507,0.463520
3.320,81.196,0.158001
3.330,98.320,0.345060
3.340,98.198,0.639396
3.350,98.225,0.846283
3.360,98.067,0.888366
3.370,98.197,0.915944
3.380,98.154,0.919436
3.390,98.166,0.929742
3.400,98.211,0.934402
3.410,98.333,0.931281
3.420,98.292,0.934987
3.430,98.263,0.937804
3.440,98.191,0.943444
3.450,98.152,0.946409
3.460,98.122,0.936631
3.470,98.042,0.920105
3.480,98.059,0.905545
3.490,98.038,0.900533
3.500,98.027,0.903744
3.510,98.098,0.904455
3.520,98.168,0.901022
3.530,98.123,0.903116
3.540,98.035,0.902208
3.550,97.988,0.901194
3.560,98.087,0.909197
3.570,98.224,0.903423
3.580,98.202,0.901200
3.590,98.133,0.902172
3.600,98.067,0.899979
3.610,98.037,0.899968
3.620,98.180,0.896988
3.630,98.365,0.845573
3.640,98.702,0.685651
3.650,99.324,0.447887
3.660,99.798,0.143472
3.670,98.900,0.040496
3.680,1040.478,0.022444
3.690,1070.613,0.018310
3.700,75.422,0.031971
3.710,102.786,0.373636
3.720,103.910,0.636324
3.730,103.769,0.768011
3.740,104.087,0.823505
3.750,104.341,0.849526
3.760,104.331,0.872771
3.770,104.342,0.877883
3.780,104.181,0.893051
3.790,104.168,0.903222
3.800,104.181,0.907181
3.810,104.080,0.907575
3.820,104.138,0.901099
3.830,104.073,0.898445
3.840,104.101,0.911252
3.850,104.209,0.898112
3.860,104.097,0.897060
3.870,104.131,0.898736
3.880,104.194,0.896489
3.890,104.152,0.895852
3.900,104.184,0.887141
3.910,104.144,0.877364
3.920,104.137,0.881906
3.930,104.242,0.879436
3.940,104.207,0.887029
3.950,104.157,0.891345
3.960,104.149,0.894332
3.970,104.104,0.896217
3.980,104.076,0.891155
3.990,104.136,0.893888
4.000,104.151,0.901479
4.010,104.148,0.903051
4.020,104.159,0.900988
4.030,104.113,0.898431
4.040,104.191,0.905506
4.050,104.187,0.908962
4.060,104.103,0.906843
4.070,104.073,0.906585
4.080,104.089,0.905923
4.090,104.088,0.904417
4.100,104.218,0.893702
4.110,104.196,0.893442
4.120,104.068,0.895198
4.130,104.196,0.898095
4.140,104.192,0.888365
4.150,104.204,0.890723
4.160,104.176,0.891258
4.170,104.100,0.884881
4.180,104.137,0.893366
4.190,104.203,0.892635
4.200,104.169,0.898744
4.210,104.138,0.903925
4.220,104.186,0.670126
4.230,100.780,0.225982
4.240,97.520,0.079201
4.250,58.921,0.272090
4.260,58.195,0.781304
4.270,58.176,0.899035
4.280,58.244,0.930297
4.290,58.213,0.916014
4.300,58.264,0.901228
4.310,58.262,0.922324
4.320,58.277,0.913374
4.330,58.249,0.907697
4.340,58.197,0.914102
4.350,58.251,0.910547
4.360,58.192,0.924585
4.370,58.251,0.920434
4.380,58.262,0.934093
4.390,58.270,0.929807
4.400,58.269,0.916504
4.410,58.223,0.918810
4.420,58.245,0.896892
4.430,58.237,0.921472
4.440,58.301,0.923231
4.450,58.226,0.910439
4.460,58.201,0.918286
4.470,58.240,0.916565
4.480,58.200,0.923699
4.490,58.209,0.906532
4.500,58.238,0.925584
4.510,58.214,0.920736
4.520,58.229,0.912017
4.530,58.198,0.918346
4.540,58.196,0.907229
4.550,58.216,0.919458
4.560,58.230,0.914681
4.570,58.224,0.911182
4.580,58.130,0.911057
4.590,58.289,0.888241
4.600,58.089,0.887143
4.610,58.017,0.864678
4.620,58.217,0.888997
4.630,55.640,0.065463
4.640,117.743,0.413599
4.650,116.894,0.740458
4.660,116.485,0.823006
4.670,116.347,0.838538
4.680,116.323,0.895053
4.690,116.604,0.930068
4.700,116.631,0.943967
4.710,116.521,0.947916
4.720,116.489,0.939468
4.730,116.543,0.946259
4.740,116.444,0.940634
4.750,116.594,0.943827
4.760,116.535,0.945037
4.770,116.494,0.945383
4.780,116.466,0.922879
4.790,116.441,0.903061
4.800,116.342,0.897257
4.810,116.369,0.913817
4.820,116.406,0.918721
4.830,116.367,0.919210
4.840,116.423,0.917317
4.850,116.437,0.908315
4.860,116.309,0.900968
4.870,116.373,0.920176
4.880,116.413,0.921531
4.890,116.403,0.926512
4.900,116.420,0.919130
4.910,116.433,0.912624
4.920,116.310,0.909993
4.930,116.334,0.912595
4.940,116.019,0.835700
4.950,115.228,0.627295
4.960,116.321,0.432988
4.970,133.787,0.073441
4.980,539.096,0.068424
4.990,297.113,0.032385
5.000,1051.167,0.014724
5.010,79.690,0.075309
5.020,80.724,0.098142
5.030,59.732,0.225137
5.040,58.779,0.501569
5.050,58.322,0.873130
5.060,58.280,0.926165
5.070,58.201,0.923076
5.080,58.131,0.917831
5.090,58.213,0.894580
5.100,58.236,0.918824
5.110,58.202,0.917081
5.120,58.237,0.918237
5.130,58.201,0.916870
5.140,58.229,0.902015
5.150,58.231,0.919369
5.160,58.195,0.912075
5.170,58.233,0.915893
5.180,58.211,0.916401
5.190,58.213,0.894236
5.200,58.111,0.906085
5.210,58.076,0.831768
5.220,58.139,0.888206
5.230,58.088,0.874942
5.240,58.248,0.897506
5.250,58.167,0.868900
5.260,58.209,0.832710
5.270,539.439,0.029234
5.280,69.673,0.122560
5.290,59.644,0.128856
5.300,58.966,0.277655
5.310,58.304,0.795844
5.320,58.253,0.913333
5.330,58.245,0.947472
5.340,58.164,0.904401
5.350,58.192,0.903457
5.360,58.210,0.917430
5.370,58.227,0.881603
5.380,58.197,0.912119
5.390,58.201,0.871362
5.400,58.257,0.900701
5.410,58.075,0.871304
5.420,55.437,0.034656
5.430,55.118,0.018311
5.440,48.619,0.128413
5.450,53.004,0.513416
5.460,52.253,0.745089
5.470,52.156,0.911277
5.480,51.889,0.926572
5.490,51.958,0.940200
5.500,51.928,0.930549
5.510,52.067,0.936388
5.520,51.938,0.936018
5.530,52.082,0.928674
5.540,51.949,0.942689
5.550,52.092,0.942401
5.560,51.997,0.933185
5.570,52.096,0.930094
5.580,51.959,0.925597
5.590,52.135,0.860810
5.600,52.128,0.877938
5.610,52.147,0.817950
5.620,52.171,0.826522
5.630,52.150,0.787569
5.640,52.162,0.842030
5.650,52.051,0.817439
5.660,52.125,0.869163
5.670,52.088,0.771164
5.680,52.097,0.872267
5.690,52.008,0.784232
5.700,52.117,0.870053
5.710,51.983,0.800478
5.720,52.078,0.855241
5.730,52.058,0.808885
5.740,52.071,0.812764
5.750,52.235,0.529091
5.760,52.482,0.115299
5.770,62.442,0.087539
5.780,64.574,0.084805
5.790,49.301,0.015949
5.800,32.673,0.143589
5.810,55.278,0.019982
5.820,53.588,0.068443
5.830,52.582,0.197012
5.840,52.268,0.747533
5.850,52.049,0.847529
5.860,51.982,0.921809
5.870,51.869,0.927867
5.880,52.027,0.928489
5.890,51.932,0.922956
5.900,52.003,0.933906
5.910,51.952,0.929391
5.920,51.964,0.928870
5.930,52.034,0.926729
5.940,51.962,0.925313
5.950,52.102,0.941390
5.960,51.940,0.921064
5.970,52.040,0.944133
5.980,51.900,0.932605
5.990,52.013,0.939717
6.000,51.945,0.928648
6.010,52.032,0.928892
6.020,51.907,0.936653
6.030,51.981,0.925485
6.040,51.914,0.930206
6.050,52.032,0.941008
6.060,51.932,0.928019
6.070,51.921,0.519645
6.080,213.572,0.298077
6.090,104.513,0.380389
6.100,104.294,0.605316
6.110,104.286,0.756252
6.120,104.569,0.786753
6.130,104.401,0.846939
6.140,104.318,0.865624
6.150,104.304,0.880227
6.160,104.066,0.895150
6.170,104.167,0.903506
6.180,104.213,0.898365
6.190,104.186,0.897743
6.200,104.230,0.889214
6.210,104.151,0.889952
6.220,104.133,0.897365
6.230,104.211,0.888050
6.240,104.177,0.874193
6.250,104.215,0.874802
6.260,104.254,0.874622
6.270,104.252,0.890370
6.280,104.233,0.886522
6.290,104.145,0.887132
6.300,104.100,0.889216
6.310,104.154,0.889719
6.320,104.237,0.890237
6.330,104.413,0.785729
6.340,105.224,0.379137
6.350,316.150,0.109900
6.360,156.676,0.175430
6.370,77.892,0.529122
6.380,77.779,0.898628
6.390,77.852,0.952740
6.400,77.923,0.944046
6.410,77.889,0.959488
6.420,77.909,0.961867
6.430,77.969,0.960554
6.440,77.904,0.961826
6.450,77.919,0.966810
6.460,77.853,0.961290
6.470,77.814,0.966836
6.480,77.836,0.968181
6.490,77.896,0.961187
6.500,77.916,0.968089
6.510,77.870,0.966475
6.520,77.888,0.966465
6.530,77.838,0.968550
6.540,77.881,0.968168
6.550,77.823,0.960186
6.560,77.771,0.964968
6.570,77.800,0.967261
6.580,77.895,0.962682
6.590,77.923,0.966538
6.600,77.845,0.966075
6.610,77.821,0.965829
6.620,77.797,0.966966
6.630,77.835,0.965834
6.640,77.815,0.958983
6.650,77.795,0.965162
6.660,77.818,0.966648
6.670,77.876,0.963982
6.680,77.858,0.960622
6.690,77.809,0.963413
6.700,77.831,0.962339
6.710,77.860,0.946709
6.720,77.856,0.934593
6.730,77.942,0.864843
6.740,76.557,0.113922
6.750,45.905,0.012818
6.760,33.347,0.250325
6.770,38.518,0.480585
6.780,38.686,0.728970
6.790,38.619,0.839606
6.800,38.626,0.874250
6.810,38.746,0.876677
6.820,38.775,0.846937
6.830,38.692,0.888724
6.840,38.769,0.875087
6.850,38.759,0.872558
6.860,38.743,0.905298
6.870,38.920,0.810220
6.880,38.861,0.809023
